pair_id,ingredient_a_id,ingredient_b_id,context,process_context,shared_compound_score,threshold_weighted_similarity,aroma_complement_score,aroma_contrast_score,taste_balance_score,dominance_risk,masking_risk,culinary_cooccurrence_score,cross_cuisine_support,sensory_study_score,literature_support,overall_pair_score,score_method_version,confidence,evidence_refs,explanation
PAIR-00001,ING-PLANT-ABRICOT-000001,ING-ANIMAL-AGNEAUVIANDE-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.600,0.250,0.000,,,,,0.070,1.0.0,0.700,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.60; risque dominance=0.25; masquage=0.00
PAIR-00325,ING-PLANT-ANANAS-000001,ING-PLANT-KIWI-000001,all,raw_or_cooked,0.000,0.000,1.000,0.000,0.400,0.250,0.400,,,,,0.250,1.0.0,0.730,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=1.00; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.40
PAIR-00326,ING-PLANT-ANANAS-000001,ING-DAIRY-LAITENTIER-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.400,0.250,0.000,,,,,0.030,1.0.0,0.760,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.00
PAIR-00327,ING-PLANT-ANANAS-000001,ING-PLANT-MANGUE-000001,all,raw_or_cooked,0.000,0.000,0.750,0.250,0.400,0.250,0.600,,,,,0.135,1.0.0,0.730,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.75; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.60
PAIR-00328,ING-PLANT-ANANAS-000001,ING-PLANT-MENTHE-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.400,0.250,0.000,,,,,0.030,1.0.0,0.760,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.00
PAIR-00329,ING-PLANT-ANANAS-000001,ING-TECH-MIEL-000001,all,raw_or_cooked,0.000,0.000,0.167,0.833,0.400,0.250,0.200,,,,,0.040,1.0.0,0.760,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.17; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.20
PAIR-00330,ING-PLANT-ANANAS-000001,ING-COND-MISOBLANC-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.800,0.250,0.000,,,,,0.110,1.0.0,0.730,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.80; risque dominance=0.25; masquage=0.00
PAIR-00331,ING-PLANT-ANANAS-000001,ING-MARINE-MOULE-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.600,0.250,0.000,,,,,0.070,1.0.0,0.730,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.60; risque dominance=0.25; masquage=0.00
PAIR-00332,ING-PLANT-ANANAS-000001,ING-COND-MOUTARDEDEDI-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.400,0.250,0.000,,,,,0.030,1.0.0,0.730,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.00
PAIR-00333,ING-PLANT-ANANAS-000001,ING-DAIRY-MOZZARELLA-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.800,0.250,0.000,,,,,0.110,1.0.0,0.730,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.80; risque dominance=0.25; masquage=0.00
PAIR-00334,ING-PLANT-ANANAS-000001,ING-PLANT-MYRTILLE-000001,all,raw_or_cooked,0.000,0.000,0.600,0.400,0.400,0.250,0.200,,,,,0.170,1.0.0,0.730,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.60; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.20
PAIR-00335,ING-PLANT-ANANAS-000001,ING-PLANT-MRE-000001,all,raw_or_cooked,0.000,0.000,0.600,0.400,0.400,0.250,0.200,,,,,0.170,1.0.0,0.730,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.60; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.20
PAIR-00336,ING-PLANT-ANANAS-000001,ING-PLANT-OIGNON-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.400,0.250,0.000,,,,,0.030,1.0.0,0.760,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.00
PAIR-00337,ING-PLANT-ANANAS-000001,ING-PLANT-PAMPLEMOUSSE-000001,all,raw_or_cooked,0.000,0.000,0.333,0.667,0.600,0.250,0.200,,,,,0.130,1.0.0,0.730,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.33; équilibre gustatif=0.60; risque dominance=0.25; masquage=0.20
PAIR-00338,ING-PLANT-ANANAS-000001,ING-PLANT-PAPAYE-000001,all,raw_or_cooked,0.000,0.000,0.750,0.250,0.400,0.250,0.600,,,,,0.135,1.0.0,0.730,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.75; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.60
PAIR-00339,ING-PLANT-ANANAS-000001,ING-DAIRY-PARMIGIANORE-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.800,0.250,0.000,,,,,0.110,1.0.0,0.730,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.80; risque dominance=0.25; masquage=0.00
PAIR-00340,ING-PLANT-ANANAS-000001,ING-PLANT-PERSIL-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.600,0.250,0.000,,,,,0.070,1.0.0,0.730,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.60; risque dominance=0.25; masquage=0.00
PAIR-00341,ING-PLANT-ANANAS-000001,ING-PLANT-PIMENTDESPEL-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.400,0.250,0.000,,,,,0.030,1.0.0,0.730,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.00
PAIR-00342,ING-PLANT-ANANAS-000001,ING-PLANT-PIMENTFORT-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.400,0.250,0.000,,,,,0.030,1.0.0,0.745,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.00
PAIR-00343,ING-PLANT-ANANAS-000001,ING-PLANT-POIREAU-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.400,0.250,0.000,,,,,0.030,1.0.0,0.730,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.00
PAIR-00344,ING-PLANT-ANANAS-000001,ING-PLANT-POIVRENOIR-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.400,0.250,0.000,,,,,0.030,1.0.0,0.745,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.00
PAIR-00345,ING-PLANT-ANANAS-000001,ING-PLANT-POIVRONROUGE-000001,all,raw_or_cooked,0.000,0.000,0.400,0.600,0.400,0.250,0.000,,,,,0.150,1.0.0,0.730,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.40; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.00
PAIR-00346,ING-PLANT-ANANAS-000001,ING-PLANT-POMME-000001,all,raw_or_cooked,0.200,0.160,0.500,0.500,0.400,0.250,0.400,,,,,0.200,1.0.0,0.790,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.20; Jaccard descripteurs=0.50; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.40
PAIR-00347,ING-PLANT-ANANAS-000001,ING-PLANT-POMME-000002,all,raw_or_cooked,0.000,0.000,0.400,0.600,0.400,0.250,0.400,,,,,0.070,1.0.0,0.745,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.40; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.40
PAIR-00348,ING-PLANT-ANANAS-000001,ING-ANIMAL-PORCVIANDE-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.600,0.250,0.000,,,,,0.070,1.0.0,0.730,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.60; risque dominance=0.25; masquage=0.00
PAIR-00349,ING-PLANT-ANANAS-000001,ING-ANIMAL-POULETVIANDE-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.600,0.250,0.000,,,,,0.070,1.0.0,0.730,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.60; risque dominance=0.25; masquage=0.00
PAIR-00350,ING-PLANT-ANANAS-000001,ING-PLANT-PCHE-000001,all,raw_or_cooked,0.000,0.000,0.400,0.600,0.400,0.250,0.400,,,,,0.070,1.0.0,0.730,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.40; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.40
PAIR-00351,ING-PLANT-ANANAS-000001,ING-PLANT-RAISIN-000001,all,raw_or_cooked,0.333,0.267,0.500,0.500,0.400,0.250,0.400,,,,,0.267,1.0.0,0.760,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.33; Jaccard descripteurs=0.50; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.40
PAIR-00352,ING-PLANT-ANANAS-000001,ING-BEV-RHUMAMBR-000001,all,raw_or_cooked,0.000,0.000,0.143,0.857,0.400,0.375,0.200,,,,,0.008,1.0.0,0.730,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.14; équilibre gustatif=0.40; risque dominance=0.38; masquage=0.20
PAIR-00353,ING-PLANT-ANANAS-000001,ING-PLANT-ROMARIN-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.400,0.250,0.000,,,,,0.030,1.0.0,0.760,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.00
PAIR-00354,ING-PLANT-ANANAS-000001,ING-DAIRY-ROQUEFORT-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.600,0.250,0.000,,,,,0.070,1.0.0,0.730,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.60; risque dominance=0.25; masquage=0.00
PAIR-00355,ING-PLANT-ANANAS-000001,ING-COND-SAUCESOJA-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.800,0.250,0.000,,,,,0.110,1.0.0,0.730,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.80; risque dominance=0.25; masquage=0.00
PAIR-00356,ING-PLANT-ANANAS-000001,ING-MARINE-SAUMON-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.600,0.250,0.000,,,,,0.070,1.0.0,0.745,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.60; risque dominance=0.25; masquage=0.00
PAIR-00357,ING-PLANT-ANANAS-000001,ING-TECH-SIROPDRABLE-000001,all,raw_or_cooked,0.000,0.000,0.200,0.800,0.400,0.250,0.200,,,,,0.050,1.0.0,0.730,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.20; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.20
PAIR-00358,ING-PLANT-ANANAS-000001,ING-TECH-SUCREBLANC-000001,all,raw_or_cooked,0.000,0.000,0.250,0.750,0.400,0.375,0.200,,,,,0.040,1.0.0,0.745,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.25; équilibre gustatif=0.40; risque dominance=0.38; masquage=0.20
PAIR-00359,ING-PLANT-ANANAS-000001,ING-MARINE-THON-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.600,0.250,0.000,,,,,0.070,1.0.0,0.745,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.60; risque dominance=0.25; masquage=0.00
PAIR-00360,ING-PLANT-ANANAS-000001,ING-PLANT-THYM-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.400,0.250,0.000,,,,,0.030,1.0.0,0.730,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.00
PAIR-00361,ING-PLANT-ANANAS-000001,ING-BEV-THNOIR-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.600,0.250,0.000,,,,,0.070,1.0.0,0.730,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.60; risque dominance=0.25; masquage=0.00
PAIR-00362,ING-PLANT-ANANAS-000001,ING-BEV-THVERT-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.600,0.250,0.000,,,,,0.070,1.0.0,0.730,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.60; risque dominance=0.25; masquage=0.00
PAIR-00363,ING-PLANT-ANANAS-000001,ING-PLANT-TOMATE-000001,all,raw_or_cooked,0.000,0.000,0.333,0.667,0.600,0.250,0.000,,,,,0.170,1.0.0,0.760,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.33; équilibre gustatif=0.60; risque dominance=0.25; masquage=0.00
PAIR-00364,ING-PLANT-ANANAS-000001,ING-PLANT-TOMATESCHE-000001,all,raw_or_cooked,0.000,0.000,0.167,0.833,0.600,0.250,0.000,,,,,0.120,1.0.0,0.775,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.17; équilibre gustatif=0.60; risque dominance=0.25; masquage=0.00
PAIR-00365,ING-PLANT-ANANAS-000001,ING-FUNGUS-TRUFFENOIRE-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.400,0.250,0.000,,,,,0.030,1.0.0,0.730,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.00
PAIR-00366,ING-PLANT-ANANAS-000001,ING-PLANT-VANILLEGOUSS-000001,all,raw_or_cooked,0.000,0.000,0.200,0.800,0.400,0.250,0.200,,,,,0.050,1.0.0,0.745,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.20; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.20
PAIR-00367,ING-PLANT-ANANAS-000001,ING-BEV-VINBLANCMOEL-000001,all,raw_or_cooked,0.000,0.000,0.333,0.667,0.400,0.250,0.400,,,,,0.050,1.0.0,0.730,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.33; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.40
PAIR-00368,ING-PLANT-ANANAS-000001,ING-BEV-VINBLANCSEC-000001,all,raw_or_cooked,0.000,0.000,0.333,0.667,0.400,0.250,0.000,,,,,0.130,1.0.0,0.730,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.33; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.00
PAIR-00369,ING-PLANT-ANANAS-000001,ING-BEV-VINROUGE-000001,all,raw_or_cooked,0.000,0.000,0.125,0.875,0.400,0.250,0.200,,,,,0.028,1.0.0,0.730,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.12; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.20
PAIR-00370,ING-PLANT-ANANAS-000001,ING-TECH-VINAIGREBALS-000001,all,raw_or_cooked,0.000,0.000,0.333,0.667,0.400,0.250,0.000,,,,,0.130,1.0.0,0.730,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.33; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.00
PAIR-00371,ING-PLANT-ANANAS-000001,ING-TECH-VINAIGREDEVI-000001,all,raw_or_cooked,0.000,0.000,0.250,0.750,0.400,0.250,0.000,,,,,0.105,1.0.0,0.730,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.25; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.00
PAIR-00372,ING-PLANT-ANANAS-000001,ING-BEV-WHISKY-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.400,0.375,0.000,,,,,0.005,1.0.0,0.730,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.40; risque dominance=0.38; masquage=0.00
PAIR-00373,ING-PLANT-ANANAS-000001,ING-FERMENT-YAOURTNATURE-000001,all,raw_or_cooked,0.000,0.000,0.200,0.800,0.600,0.250,0.000,,,,,0.130,1.0.0,0.730,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.20; équilibre gustatif=0.60; risque dominance=0.25; masquage=0.00
PAIR-00374,ING-PLANT-ANANAS-000001,ING-PLANT-CHALOTE-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.400,0.250,0.000,,,,,0.030,1.0.0,0.730,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.00
PAIR-00375,ING-MARINE-ANCHOIS-000001,ING-PLANT-ANETH-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.400,0.250,0.000,,,,,0.030,1.0.0,0.700,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.00
PAIR-00376,ING-MARINE-ANCHOIS-000001,ING-PLANT-BANANE-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.600,0.250,0.000,,,,,0.070,1.0.0,0.730,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.60; risque dominance=0.25; masquage=0.00
PAIR-00377,ING-MARINE-ANCHOIS-000001,ING-PLANT-BASILIC-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.400,0.250,0.000,,,,,0.030,1.0.0,0.730,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.00
PAIR-00378,ING-MARINE-ANCHOIS-000001,ING-DAIRY-BEURRECLARIF-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.400,0.250,0.000,,,,,0.030,1.0.0,0.700,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.00
PAIR-00379,ING-MARINE-ANCHOIS-000001,ING-DAIRY-BEURREDOUX-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.600,0.250,0.000,,,,,0.070,1.0.0,0.730,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.60; risque dominance=0.25; masquage=0.00
PAIR-00380,ING-MARINE-ANCHOIS-000001,ING-BEV-BIREIPA-000001,all,raw_or_cooked,0.000,0.000,0.125,0.875,0.600,0.250,0.000,,,,,0.108,1.0.0,0.700,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.12; équilibre gustatif=0.60; risque dominance=0.25; masquage=0.00
PAIR-00381,ING-MARINE-ANCHOIS-000001,ING-BEV-BIREBLONDELA-000001,all,raw_or_cooked,0.000,0.000,0.143,0.857,0.600,0.250,0.000,,,,,0.113,1.0.0,0.700,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.14; équilibre gustatif=0.60; risque dominance=0.25; masquage=0.00
PAIR-00382,ING-MARINE-ANCHOIS-000001,ING-BEV-BIRESTOUT-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.600,0.250,0.000,,,,,0.070,1.0.0,0.700,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.60; risque dominance=0.25; masquage=0.00
PAIR-00383,ING-MARINE-ANCHOIS-000001,ING-ANIMAL-BUFVIANDE-000001,all,raw_or_cooked,0.000,0.000,0.125,0.875,0.400,0.250,0.200,,,,,0.028,1.0.0,0.700,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.12; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.20
PAIR-00384,ING-MARINE-ANCHOIS-000001,ING-MARINE-CABILLAUD-000001,all,raw_or_cooked,0.000,0.000,0.200,0.800,0.400,0.250,0.200,,,,,0.050,1.0.0,0.700,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.20; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.20
PAIR-00385,ING-MARINE-ANCHOIS-000001,ING-TECH-CACAOENPOUDR-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.600,0.250,0.000,,,,,0.070,1.0.0,0.700,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.60; risque dominance=0.25; masquage=0.00
PAIR-00386,ING-MARINE-ANCHOIS-000001,ING-BEV-CAFESPRESSO-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.600,0.250,0.000,,,,,0.070,1.0.0,0.745,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.60; risque dominance=0.25; masquage=0.00
PAIR-00387,ING-MARINE-ANCHOIS-000001,ING-BEV-CAFFILTRE-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.600,0.250,0.000,,,,,0.070,1.0.0,0.700,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.60; risque dominance=0.25; masquage=0.00
PAIR-00388,ING-MARINE-ANCHOIS-000001,ING-PLANT-CANNELLE-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.600,0.250,0.000,,,,,0.070,1.0.0,0.715,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.60; risque dominance=0.25; masquage=0.00
PAIR-00389,ING-MARINE-ANCHOIS-000001,ING-PLANT-CASSIS-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.600,0.250,0.000,,,,,0.070,1.0.0,0.700,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.60; risque dominance=0.25; masquage=0.00
PAIR-00390,ING-MARINE-ANCHOIS-000001,ING-PLANT-CERISE-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.800,0.250,0.000,,,,,0.110,1.0.0,0.700,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.80; risque dominance=0.25; masquage=0.00
PAIR-00391,ING-MARINE-ANCHOIS-000001,ING-FUNGUS-CHAMPIGNONDE-000001,all,raw_or_cooked,0.000,0.000,0.167,0.833,0.400,0.250,0.000,,,,,0.080,1.0.0,0.715,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.17; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.00
PAIR-00392,ING-MARINE-ANCHOIS-000001,ING-DAIRY-CHEDDAR-000001,all,raw_or_cooked,0.000,0.000,0.500,0.500,0.400,0.250,0.400,,,,,0.100,1.0.0,0.700,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.50; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.40
PAIR-00393,ING-MARINE-ANCHOIS-000001,ING-TECH-CHOCOLATAULA-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.600,0.250,0.000,,,,,0.070,1.0.0,0.700,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.60; risque dominance=0.25; masquage=0.00
PAIR-00394,ING-MARINE-ANCHOIS-000001,ING-TECH-CHOCOLATNOIR-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.800,0.250,0.000,,,,,0.110,1.0.0,0.745,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.80; risque dominance=0.25; masquage=0.00
PAIR-00395,ING-MARINE-ANCHOIS-000001,ING-TECH-CHOCOLATNOIR-000002,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.800,0.250,0.000,,,,,0.110,1.0.0,0.700,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.80; risque dominance=0.25; masquage=0.00
PAIR-00396,ING-MARINE-ANCHOIS-000001,ING-PLANT-CIBOULETTE-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.400,0.250,0.000,,,,,0.030,1.0.0,0.700,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.00
PAIR-00397,ING-MARINE-ANCHOIS-000001,ING-PLANT-CITRONJAUNE-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.600,0.250,0.000,,,,,0.070,1.0.0,0.745,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.60; risque dominance=0.25; masquage=0.00
PAIR-00398,ING-MARINE-ANCHOIS-000001,ING-PLANT-CITRONVERT-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.600,0.250,0.000,,,,,0.070,1.0.0,0.700,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.60; risque dominance=0.25; masquage=0.00
PAIR-00399,ING-MARINE-ANCHOIS-000001,ING-PLANT-CLOUDEGIROFL-000001,all,raw_or_cooked,0.000,0.000,0.000,1.000,0.400,0.250,0.000,,,,,0.030,1.0.0,0.715,DESCRIPTOR|AROMA_COMPOUND,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.00
